#Records Breached,#Total Records,% Record Breach,Show Data By Calc,City,Company,Date Made Public,Description of incident,Information Source,Location,Number of Records,Records Breached,Source URL,State,Total Records,Type of breach,Type of organization
300000,300000,100,Statewise Representation,San Bruno,Cbr Systems,1/28/2013,"The 2010 theft of a company laptop, a hard drive, and a number of unencrypted backup tapes resulted in the exposure of sensitive information.  Social security numbers, credit and debit card numbers, driver's license numbers, and dates of birth were contained on one or more of the devices.Cbr Systems reached a settlement with the Federal Trade Commission in early 2013.  Cbr Systems must establish an information security program and be independently audited every other year for 20 years.  The full settlement can be found here: http://ftc.gov/opa/2013/01/cbr.shtm",Media,"San Bruno, California",1,"300,000",,California,"300,000",PORT,MED
8911,8911,100,Statewise Representation,Chicago,"RR Donnelley, UnitedHealthcare, Boy Scouts of America",1/28/2013,"An unencrypted desktop computer was stolen from an RR Donnelley facility sometime between mid September and the end of November, 2012.  RR Donnelley is a vendor of UnitedHealthcare.  It is unclear why the breach was not noticed until December 3, 2012.  The stolen computer contained UnitedHealthcare member information that was related to participation in the Boy Scouts of America 2003 health benefit plan.  Names, Social Security numbers, and addresses may have been exposed.UPDATE (10/01/2013): A total of 8,911 Boy Scouts of America Employee Benefit Plan participants were notified of the breach.",California Attorney General,"Chicago, Illinois",1,"8,911",,Illinois,"8,911",STAT,MED
,,,Statewise Representation,Van Nuys,North Los Angeles County Regional Center (NLACRC),1/29/2013,"The November 13, 2012 theft of a laptop resulted in the exposure of consumer information.  Names, addresses, phone numbers, dates of birth, residential information, and medical information may have been exposed.",California Attorney General,"Van Nuys, California",1,Unknown,,California,Unknown,PORT,MED
124,124,100,Statewise Representation,Tallahassee,Tallahassee Memorial HealthCare,2/1/2013,"A former Tallahassee Memorial HealthCare food service employee was indicted on 31 counts of filing false tax returns, wire fraud, false claims, and aggravated identity theft.  He and two others are believed to have participated in a conspiracy that led to $818,000 in fraudulent claims.  The employee worked for Tallahassee Memorial HealthCare for three years.  He gathered patient names and dates of birth from food tray receipts when he delivered food to the rooms of patients in August of 2011 and stole emergency room data sheets from the trash. The information was then passed to the two others who participated in the conspiracy.",PHIPrivacy.net,"Tallahassee, Florida",1,124,,Florida,124,INSD,MED
2400,,,Statewise Representation,River Falls,River Falls Medical Clinic,2/2/2013,"River Falls Medical Clinic officials reported a burglary during the summer of 2012.  The equipment and paper documents that were stolen were recovered by police on November 28.  An employee of a cleaning service that subcontracted with the Clinic is the main suspect.  The items were found in the employee's home and he was charged with felonies associated with theft and drug possession.  It is believed that the documents were intended to be shredded.  They contained patient names, dates of birth, patient account and billing account information, diagnosis codes, insurance information, account numbers, medical chart numbers, and scheduling information.  An unspecified number of patients also had their Social Security numbers, home addresses, and phone numbers exposed.",PHIPrivacy.net,"River Falls, Wisconsin",1,"2,400 (unknown number of SSNs)",,Wisconsin,Unknown,PHYS,MED
,,,Statewise Representation,Boca Raton,Boca Raton Regional Hospital,2/5/2013,"Eight people were charged for participating in an identity theft ring.  One of the members was employed as a scheduler at Boca Raton Regional Hospital.  She passed along patient information in exchange for payments.  One member allegedly filed 57 fraudulent tax returns with the stolen information in attempt to get $306,720 in refunds.  Another member is accused of filing 75 fraudulent returns for $750,469 in refunds.UPDATE (07/30/2013): The dishonest employee was convicted of unauthorized disclosure of medical records, using stolen Social Security numbers to file fraudulent tax claims, and conspiracy to commit false claims.  She was sentenced to 18 months in prison and ordered to pay $15,795 in restitution to the IRS.  A co-defendant was sentenced to 40 months for her role in filing fraudulent tax returns and stealing patient information.",PHIPrivacy.net,"Boca Raton, Florida",1,Unknown,,Florida,Unknown,INSD,MED
1182,,,Statewise Representation,Honesdale,Wayne Memorial Hospital,2/7/2013,"An unencrypted disc that contained patient information was lost in transit.  The disc had names, Medicare account numbers, and outstanding account balances from patients who visited the Honesdale hospital between 2007 and 2012.  A legal envelope that contained the disc was mailed on November 28 and arrived at Novitas Solutions in Pittsburgh in a cardboard box without the disc. ",PHIPrivacy.net,"Honesdale, Pennsylvania",1,"1,182 (No SSNs or financial information reported)",,Pennsylvania,Unknown,PORT,MED
3230,,,Statewise Representation,Baltimore,Riderwood Village,2/11/2013,"Five laptops were stolen during the weekend of November 17, 2012.  They did not contain Social Security numbers and did contain unspecified personal information of patients.  A notice about the incident was sent on January 18, 2013 and the breach appeared on the HHS website in February of 2013.",HHS via PHIPrivacy.net,"Baltimore, Maryland",1,"3,230 (No SSNs or financial information reported)",,Maryland,Unknown,PORT,MED
1103,,,Statewise Representation,Brentwood,"American HomePatient Inc., LifeGas",2/11/2013,"A laptop was stolen or discovered stolen on October 11, 2012.  The incident appeared on the HHS website in February of 2013.",HHS via PHIPrivacy.net,"Brentwood, Tennessee",1,"1,103 (No SSNs or financial information reported)",,Tennessee,Unknown,PORT,MED
10480,,,Statewise Representation,Baltimore,Lee Miller Rehab Associates,2/11/2013,"A network server was stolen or discovered stolen on January 15, 2012.  The incident appeared on the HHS website in February of 2013.",HHS via PHIPrivacy.net,"Baltimore, Maryland",1,"10,480 (No SSNs or financial information reported)",,Maryland,Unknown,STAT,MED
2800,2800,100,Statewise Representation,Palm Beach,Palm Beach County Health Department,2/12/2013,"A senior desk clerk was arrested for obtaining and releasing patient information for identity theft purposes.  The dishonest employee took home client lists with names, Social Security numbers, and dates of birth.  Patients born between 1991 and 1996 may have had their personal information misused.",PHIPrivacy.net,"Palm Beach, Florida",1,"2,800",,Florida,"2,800",INSD,MED
,,,Statewise Representation,Jersey City,Sinai Medical Center of Jersey City LLC,2/13/2013,"A pediatrician misused patient information in order to defraud Medicaid of nearly one million dollars.  The pediatrician owned Sinai Medical Center and billed Medicaid for wound repairs and other procedures that were never performed.  Police arrested the dishonest pediatrician on January 16, 2013.  ",PHIPrivacy.net,"Jersey City, New Jersey",1,Unknown,,New Jersey,Unknown,INSD,MED
43000,800,5375,Statewise Representation,Milwaukee,Froedtert Health,2/14/2013,"A computer virus was discovered on an employee's work computer account on December 14, 2012.  One of the files on the employee's computer contained patient names, addresses, telephone numbers, dates of birth, medical record numbers, names of health insurers, diagnoses, and other clinical information.  A limited number of Social Security numbers were also exposed.",PHIPrivacy.net,"Milwaukee, Wisconsin",1,"43,000 (less than 3% contained SSNs)",,Wisconsin,800,HACK,MED
,,,Statewise Representation,Porterville,Sierra View District Hospital,2/17/2013,The Information Technology Department at Sierra View District Hospital detected unusual activity on its computer network.  Patient information may have been affected and the investigation is ongoing.,PHIPrivacy.net,"Porterville, California",1,Unknown,,California,Unknown,HACK,MED
,,,Statewise Representation,Rome,"Heyman HospiceCare, Floyd Medical Center",2/17/2013,"The theft of a password-protected laptop from an employee's car may have resulted in the exposure of patient information.  The theft occurred on January 4, 2013 and was reported immediately.  Patients who were treated between July 1, 2006 and January 3, 2013 may have had their names, Social Security numbers, addresses, phone numbers, dates of birth, insurance policy numbers, diagnoses, visit notes, physician names, caregiver names, and advance directives exposed.",PHIPrivacy.net,"Rome, Georgia",1,Unknown,,Georgia,Unknown,PORT,MED
,,,Statewise Representation,Orlando,Mid-Florida Urological Associates,2/20/2013,"A dishonest employee misused patient information in order to claim them as her children and receive insurance compensation.  The dishonest employee was charged with insurance fraud and ID theft.UPDATE (02/22/2013): Orlando Health patient records were accessed.  The Orlando Health hospitals include MD Anderson Cancer Center Orlando, Orlando Regional Medical Center, Winnie Palmer Hospital for Women and Babies, Dr. P. Phillips Hospital, Arnold Palmer Hospital for Children, South Seminole Hospital, South Lake Hospital, and Health Center Hospital.",PHIPrivacy.net,"Orlando, Florida",1,Unknown,,Florida,Unknown,INSD,MED
100000,100000,100,Statewise Representation,Anaheim,"Crescent Health Inc., Walgreens",2/22/2013,"Desktop computer hardware was stolen from the Anaheim Billing Center of Crescent Healthcare, Inc. on December 28, 2012.  The theft was discovered on Monday, December 31 and reported to law enforcement.  Names, Social Security numbers, health insurance identification numbers, health insurance information, dates of birth, diagnoses, other medical information, disability codes, addresses, and phone numbers may have been exposed.UPDATE (04/03/2013): Over 100,000 people were affected.",California Attorney General,"Anaheim, California",1,"100,000",,California,"100,000",STAT,MED
,,,Statewise Representation,Detroit,"First Choice Home Health Care Services Inc., Reliance Home Care, LLC",2/26/2013,"A group of co-conspirators used Medicaid information from Medicare beneficiaries in and near Detroit to defraud Medicaid and file for $24.7 million in fraudulent claims.  The fraud took place between 2008 and May of 2012.  Hundreds of patients had their information misused so that co-conspirators could bill Medicare for psychotherapy, home health services, and other medical services.",PHIPrivacy.net,"Detroit, Michigan",1,Unknown,,Michigan,Unknown,INSD,MED
834,834,100,Statewise Representation,Miami,"South Miami Hospital, Baptist Health",3/1/2013,"A dishonest hospital employee misused patient records that were dated from June 2011 to February of 2012.  Patients may have had their names, Social Security numbers, and dates of birth exposed.UPDATE (03/15/2013): A respiratory therapist provided Social Security numbers, dates of birth, patient names, and other patient data in exchange for payment. The patient data was then used to file fraudulent tax returns.  The dishonest employee now faces charges for selling the information to two others.UPDATE (04/26/2013): Two women who purchased patient information from a Hospital employee were sentenced for their roles in the breach.  One woman was sentenced to 26 years and five months in federal prison in addition to being ordered to pay over $1.9 million in restitution.  She was convicted of 33 fraud and identity theft charges in January.  The other was sentenced to 10 years and one month in prison after pleading guilty to conspiracy to defraud the government and aggravated identity theft.  The fraud ring produced fraudulent income tax refunds totalling $11.7 million.UPDATE (07/18/2013): A respiratory therapist who engaged in the theft of patient information between June of 2011 and February of 2012 pleaded guilty.  She faces up to seven years in federal prison and is scheduled to receive a lightened sentence for cooperating with authorities in the investigation of the tax fraud ring's leaders.",PHIPrivacy.net,"Miami, Florida",1,834,,Florida,834,INSD,MED
,,,Statewise Representation,Troy,"Samaritan Hospital, Rensselaer County Jail",3/1/2013,"A nursing supervisor of Rensselaer County Jail was found to have misused credentials to access patient records without cause.  The Rensselaer County Jail information is maintained by Samaritan Hospital.  The hospital learned of the breach in November 2011, disabled the employee's account, and notified the sheriff's office immediately.  Subsequently, the Hospital may have delayed notifying patients because of the ongoing investigation.  Notifications were sent out during the first week of March in 2013.UPDATE (04/01/2013): A total of 48 people have been notified.  Patients from as far back as 2006 may have been affected.",PHIPrivacy.net,"Troy, New York",1,Unknown,,New York,Unknown,INSD,MED
,,,Statewise Representation,Hiram,Family Intervention Services,3/4/2013,"A caller contacted a local news team member and an investigation of mishandled medical documents began.  The documents were in an unlocked dumpster and contained Social Security numbers, bank account information, addresses, dates of birth, and health information.  The documents were associated with Family Intervention Services and an unnamed orthopedic office.",PHIPrivacy.net,"Hiram, Georgia",1,Unknown,,Georgia,Unknown,PHYS,MED
,,,Statewise Representation,Uniontown,Uniontown Hospital,3/7/2013,"A hacker or hackers accessed patient information and posted it online.  The breach was discovered by a data privacy expert. Uniontown indirectly notified the public of the breach and breach containment after the privacy expert attempted to reach Uniontown Hospital for several days.  Names, encrypted passwords, contact names, email addresses, and usernames may have been exposed.  It is unclear how long the information was available.",PHIPrivacy.net,"Uniontown, Pennsylvania",1,Unknown,,Pennsylvania,Unknown,HACK,MED
1400,,,Statewise Representation,Farmington,University of Connecticut Health Center,3/8/2013,"An employee accessed patient records for reasons unrelated to their job function.  The Heath Center became aware of an unauthorized access in January of 2013.  Patient names, addresses, dates of birth, and in some cases health information and Social Security numbers may have been exposed.",Media,"Farmington, Connecticut",1,"1,400 (Unknown number of Social Security numbers)",,Connecticut,Unknown,INSD,MED
,,,Statewise Representation,Melrose,"Lawrence Melrose Medical Electronic Record, Inc.",3/16/2013,An employee of Lawrence Melrose accessed patient information for reasons unrelated to their work.  It is unclear what type of patient information was exposed and how many patients were affected.  ,PHIPrivacy.net,"Melrose, Massachusetts",1,Unknown,,Massachusetts,Unknown,INSD,MED
700,700,100,Statewise Representation,Lubbock,Texas Tech University Health Sciences Center (TTUHSC),3/26/2013,"An administrative error caused the billing statements of around 700 patients to be sent to the mailing addresses of other patients.  Patient names, account numbers, invoice numbers, charge amounts, dates of service, department and provider names, adjustment amounts, payments from insurance companies, amounts due, and total account balances may have been exposed.",PHIPrivacy.net,"Lubbock, Texas",1,700,,Texas,700,DISC,MED
18,3,600,Statewise Representation,Baltimore,"MedStar Good Samaritan Nursing Center, Mid America Health, Inc. (MAH)",3/28/2013,"A paper file was stolen from the car of a dental assistant who was treating residents at the MedStar Good Samaritan Nursing Center.  The file contained names, dates of birth, medical and dental evaluation information, medical and dental providers' names and license numbers, and the Social Security numbers of three residents.",PHIPrivacy.net,"Baltimore, Maryland",1,18 (Three Social Security Numbers reported),,Maryland,3,PHYS,MED
,,,Statewise Representation,Greenwood,Mid America Health,3/28/2013,"The theft of a laptop resulted in the exposure of patient information.  Names, Social Security numbers, dates of birth, residential facility names, and digital oral x-ray images may have been exposed.  Specific details of the case are being withheld until the breach investigation has concluded.  The location of the breach is listed as the corporate headquarters of MAH.  Those with questions or concerns may contact the MAH Compliance Department at 1-855-224-0004.",PHIPrivacy.net,"Greenwood, Indiana",1,Unknown,,Indiana,Unknown,PORT,MED
2600,,,Statewise Representation,West Valley City,Granger Medical Clinic,4/1/2013,"A total of 2,600 medical appointment records disappeared before they could be shredded.  The records contained patient names, dates of appointments, times of appointments, and reason for appointment.  No medical claim information, financial information, or Social Security numbers were exposed.",Media,"West Valley City, Utah",1,"2,600 (No SSNs or financial information reported)",,Utah,Unknown,PHYS,MED
4022,9,44688.888888889,Statewise Representation,Portland,Oregon Health and Science University,4/1/2013,"The theft of a surgeon's unencrypted laptop resulted in the exposure of patient information.UPDATE (07/6/2016): ""The Department of Health and Human Services hit the University of Mississippi Medical Center (UMMC) with a $2.75 million fine over a health data breach, its second major privacy action in a week.The HHS Office for Civil Rights (OCR) is penalizing UMMC for a series of alleged privacy and security violations of the Health Insurance Portability and Accountability Act, also known as HIPAA. The settlement relates to a password-protected laptop that went missing from the hospital’s intensive care unit in March 2013. After an investigation, the medical center determined the computer was likely stolen by a visitor who had asked to borrow it.""UPDATE (04/25/2013): The laptop was stolen from a surgeon's Hawaii rental home and was used for research purposes.  Any laptops used for patient care are required to be encrypted while laptops used for research are not required to be encrypted.  The laptop was used to access emails related to patient care such as patient names, medical record numbers, types of surgery and dates of surgery, times and locations of surgery, gender, age, and name of surgeon and anesthesiologist information. Nine patients had their Social Security numbers exposed.",Media,"Portland, Oregon",1,"4,022 (Nine Social Security Numbers reported)",,Oregon,9,PORT,MED
13617,13617,100,Statewise Representation,Fort Myers,"United HomeCare Services, Inc., United Home Care Services of Southwest Florida, LLC",4/3/2013,"The January 8 theft of a billing manager's laptop resulted in the exposure of patient information.  It was stolen from the manager's car.  It contained client names, Social Security numbers, health plan numbers, dates of birth, and addresses dating as far back as 2002.  Some patients may have also had treatment service codes or diagnostic codes on the laptop.",HHS via PHIPrivacy.net,"Fort Myers, Florida",1,"13,617",,Florida,"13,617",PORT,MED
7405,7405,100,Statewise Representation,Columbia,William Jennings Bryan Dorn VA Medical Center,4/5/2013,"The February 11 theft of an unencrypted laptop from the respiratory department resulted in the exposure of patient information.  Veterans who were patients may have had their name, Social Security number, age, race, weight, and medical test results on the laptop.  The laptop was taken during regular clinic hours.UPDATE (05/01/2013): A lawsuit has been filed by two veterans on behalf of people who were affected by the breach.UPDATE (07/22/2013): The Dorn VA has motioned to dismiss the case.  On July 16 the Dorn VA said that it has not been proven that the records were improperly disclosed. It also argued that the plaintiffs never asserted that the records had been shown to another or unauthorized person.",PHIPrivacy.net,"Columbia, South Carolina",1,"7,405",,South Carolina,"7,405",PORT,MED
6000,6000,100,Statewise Representation,Orlando,"Connextions, Anthem Blue Cross Blue Shield of Indiana, Anthem Blue Cross Blue Shield of Ohio, Empire Blue Cross Blue Shield of Indiana",4/9/2013,"A Connextions employee used Social Security numbers from a number of other organizations for criminal activity.  At least four members of Anthem Blue Cross and Blue Shield were affected by the criminal activity.  The breach was reported on HHS as affecting 4,814 patients, but more were affected.",HHS via PHIPrivacy.net,"Orlando, Florida",1,"6,000",,Florida,"6,000",INSD,MED
5300,,,Statewise Representation,Burlington,"Hospice Palliative Care of Alamance-Caswell, LifePath Home Health",4/9/2013,"The February 24 burglary of three laptops resulted in the exposure of patient information.  The laptops were stolen from the hospital in addition to needles, syringes, and miscellaneous items.  The unencrypted laptops contained emails that had sensitive patient information.",Media,"Burlington, North Carolina",1,"5,300 (Unknown number of Social Security numbers)",,North Carolina,Unknown,PORT,MED
3000,,,Statewise Representation,Seymour,Schneck Medical Center,4/16/2013,"A Schneck Medical Center employee gave a presentation that was later placed online.  People who searched through the files from the presentation could find the names of 3,000 Schneck Medical Center patients.  The presentation was removed from online and Google removed all cached information from the Internet.",PHIPrivacy.net,"Seymour, Indiana",1,"3,000 (no SSNs or financial information reported)",,Indiana,Unknown,DISC,MED
87,87,100,Statewise Representation,Chattanooga,"Erlanger Health System, Erlanger Hospital",4/17/2013,"Erlanger Health System sent notes to 87 families and apologized for an incident that left the patient records of children exposed.  The records contained names, Social Security numbers, phone numbers, and dianosis information.  Erlanger has not been made aware of the records being used in an unauthorized manner.",PHIPrivacy.net,"Chattanooga, Tennessee",1,87&nbsp;,,Tennessee,87,PHYS,MED
3000,,,Statewise Representation,Yuma,"Arizona Counseling and Treatment Services (ACTS), Cenpatico Behavioral Health of Arizona",4/17/2013,"The home theft of any employee's laptop and external drive resulted in the exposure of patient information.  The theft occurred sometime between March 18 and March 25; other items were stolen besides the laptop and hard drive.  Neither the laptop nor the hard drive were encrypted. Patients who visited either Cenpatico or its contractor ATS between 2011 and 2013 may have had their names, dates of birth, and treatment plans exposed.UPDATE (04/17/2013): More than 3,000 patients were affected by the breach.",Media,"Yuma, Arizona",1,"3,000 (No SSNs reported)",,Arizona,Unknown,PORT,MED
,,,Statewise Representation,Monroeville,City of Monroeville,4/23/2013,"A number of inappropriate security practices may have exposed the information of people who called Monroeville's 911 dispatch center, police department, fire department, or EMS department in 2012 or 2013.  Monroeville is being investigated for possible violations of federal health privacy laws.  An August 2012 complaint to the U.S. Department of Health and Human Services' Office for Civil Rights stated that protected health information may have been given to a former police chief via email and that weak and poorly managed usernames and passwords were used to access a database of 911 callers' medical information.UPDATE (07/18/2013): Monroeville 911 records from August 2010 through February 2013 were available to volunteer firefighters and former and inacitive emergency responders.  There was no protocol in place for removing the former personnel from the list of people who received 911 dispatch data.",Media,"Monroeville, Pennsylvania",1,Unknown,,Pennsylvania,Unknown,DISC,MED
2300,,,Statewise Representation,Glens Falls,"Portal Healthcare Solutions, Glens Falls Hospital",4/23/2013,"Two patients ran a google search of their names and were able to find their medical information online.  Doctors' reports with medications, medical treatments, lab information, future and past treatment plans, physical examination information, and lifestyle information could be downloaded by anyone who found the information online.  The documents were from November 2012 through January 2013 and discovered online in mid-March.  Portal Healthcare secured the sensitive information on its servers on March 14.  A lawsuit was filed against Glens Falls Hospital, Portal Healthcare Solutions LLC, and Carpathia Hosting in mid-April for patient privacy violations.",PHIPrivacy.net,"Glens Falls, New York",1,"2,300 (No SSNs reported)",,New York,Unknown,DISC,MED
23,,,Statewise Representation,Manchester,Child and Family Services of New Hampshire,4/25/2013,"Someone took 23 files from a secure area in the Child and Family Services of New Hampshire main office sometime between March 15 and March 18.  The breach was discovered on March 19.  The files contained client names, dates of birth, addresses, Medicaid numbers, notes from home visits, and other health information related to home visits.",PHIPrivacy.net,"Manchester, New Hampshire",1,23 (No SSNs or financial information exposed),,New Hampshire,Unknown,PHYS,MED
842,107,786.915887850,Statewise Representation,Aurora,Life Flight (IHC Health Services Inc.),4/26/2013,"An administrative error caused the information of patients flown by Life Flight helicopters to be available online.  Patients flown during April, May, and June of 2004 may have had unspecified information exposed.  It was confirmed that 107 patients had their Social Security numbers exposed.  It is unclear how long the information was available and if patients flown during additional months may have been affected.  The information was moved to a secure server to address the breach.UPDATE (05/17/2013): The sensitive information was available online as early as October 12, 2009.",PHIPrivacy.net,"Aurora, Oregon",1,842 (107),,Oregon,107,DISC,MED
283,,,Statewise Representation,Syracuse,Upstate University Hospital,4/26/2013,"A portable electronic device was stolen from Upstate University Hospital on March 30 or 31.  It contained the names, hospital medical record numbers, dates of birth, and diagnosis information of patients.",PHIPrivacy.net,"Syracuse, New York",1,283 (No SSNs or financial information reported),,New York,Unknown,PORT,MED
,,,Statewise Representation,Seattle,"Orthopedic Physician Associates, Proliance Surgeons",4/28/2013,"An employee's car was the target of an April 1 break-in.  A company laptop and 10 patient files were taken during the car theft.  The paper files were recovered, but the laptop also contained patient information.  Names, Social Security numbers, addresses, telephone numbers, health insurance information, names of providers, and the reasons for patients' appointments may have been included in emails stored on the laptop.",PHIPrivacy.net,"Seattle, Washington",1,Unknown,,Washington,Unknown,PORT,MED
